scig1.0000008	GO:0008046,GO:0005509,GO:0005201
scig1.0052111	GO:0003887
scig1.0052121	GO:0008270,GO:0046872,GO:0003676
scig1.0052130	GO:0003824,GO:0016740,GO:0016779,GO:0003964
scig1.0052137	GO:0003887,GO:0003676,GO:0046872,GO:0019899,GO:0008270
scig1.0052145	GO:0005459,GO:0005460,GO:0005471,GO:0015297
scig1.0052163	GO:0019899,GO:0005515,GO:0002039,GO:0003720,GO:0070034,GO:0003723,GO:0005524,GO:0000166
scig1.0052185	GO:0016301,GO:0005524,GO:0000166,GO:0016740,GO:0016361,GO:0048185,GO:0004674,GO:0004675,GO:0005515,GO:0004672,GO:0005024
scig1.0052188	GO:0003682,GO:0005515,GO:0098640,GO:0005509,GO:0005178
scig1.0052215	GO:0061631,GO:0004842,GO:0005515,GO:0000166,GO:0005524,GO:0016740
scig1.0052264	GO:0003824
scig1.0052300	GO:0052689,GO:0016787,GO:0008474,GO:0016298
scig1.0052312	GO:0016787,GO:0016798,GO:0005515,GO:0004553,GO:0004565
scig1.0052317	GO:0019904,GO:0016740,GO:0005135,GO:0061630,GO:0008270,GO:0030971,GO:0004842,GO:0031267,GO:0046872,GO:0005128,GO:0005515,GO:0042802
scig1.0052340	GO:0005515
scig1.0052352	GO:0046872,GO:0016263,GO:0016757,GO:0016740
scig1.0052358	GO:0052689,GO:0004104,GO:0003990,GO:0016787
scig1.0052397	GO:0003729,GO:0003682,GO:0008310,GO:0005515,GO:0003697,GO:0004527,GO:0003676,GO:0019904,GO:0003677,GO:0016787,GO:0003723,GO:0004518
scig1.0052406	GO:0120170
scig1.0052443	GO:0046872,GO:0005515,GO:0004114,GO:0008081,GO:0004115,GO:0016787
scig1.0052450	GO:0046872,GO:0031418,GO:0051213,GO:0016491
scig1.0052476	GO:0004252,GO:0016787,GO:0042277,GO:0008236,GO:0004175,GO:0008233
scig1.0052480	GO:0022857
scig1.0052520	GO:0003824,GO:0016740,GO:0016779,GO:0003964
scig1.0052543	GO:0005515,GO:0005548,GO:0003924,GO:0140345,GO:0140326,GO:0140327,GO:0005319,GO:0140359,GO:0016887,GO:0034632,GO:0005503,GO:0120019,GO:0008559,GO:0005501,GO:0005525,GO:0140347,GO:0090555,GO:0000166,GO:0005502,GO:0005524,GO:0042626
scig1.0052560	GO:0004715,GO:0016740,GO:0016301,GO:0005524,GO:0000166,GO:0004672,GO:0004713
scig1.0052563	GO:0008236,GO:0008233,GO:0004252,GO:0016787
scig1.0052591	GO:0005096,GO:0005515,GO:0031267
scig1.0052658	GO:0008168,GO:0016740,GO:0008757,GO:0008175
scig1.0052661	GO:0016787,GO:0003723,GO:0005524,GO:0000166,GO:0003676,GO:0004386,GO:0016887,GO:0003724
scig1.0052670	GO:0000166,GO:0005525,GO:0032427,GO:0019901,GO:0016787,GO:0061630,GO:0034191,GO:0032794,GO:0030742,GO:0031996,GO:0003674,GO:0005515,GO:0042802,GO:0003924,GO:0003925,GO:0031435
scig1.0052684	GO:0061630,GO:0160072,GO:0005515,GO:0031625
scig1.0052707	GO:0003714,GO:0031491,GO:0042393,GO:0003682,GO:0140297
scig1.0052718	GO:0008270,GO:0071633,GO:0070774,GO:0005515,GO:0102121,GO:0046872,GO:0017040,GO:0005509,GO:0016787
scig1.0052724	GO:0016740,GO:0061630,GO:0008270,GO:0046872
scig1.0052726	GO:0005515,GO:0046983
scig1.0052732	GO:0015297,GO:0005432
scig1.0052746	GO:0000978,GO:0046872,GO:0000981,GO:0000977,GO:0003677,GO:1990837
scig1.0052812	GO:0048495,GO:0008201,GO:0005515,GO:0005520
scig1.0052813	GO:0030527,GO:0044877,GO:0003677,GO:0046982
scig1.0052837	GO:0003674,GO:0016787
scig1.0052840	GO:0005509,GO:0030246,GO:0005515,GO:0004888,GO:0004930,GO:0046872
scig1.0052884	GO:0003964,GO:0016779,GO:0003824,GO:0016740
scig1.0052892	GO:0005515,GO:1990756
scig1.0052905	GO:0000166,GO:0003712,GO:0005524,GO:0003677,GO:0008094,GO:0016787,GO:0140658,GO:0017025,GO:0016887,GO:0004386
scig1.0052907	GO:0005515,GO:0003674
scig1.0052912	GO:0003677,GO:0042802,GO:0003690,GO:0140297
scig1.0052915	GO:0016787,GO:0003876,GO:0046872,GO:0019239,GO:0005515,GO:0042802
scig1.0052924	GO:0046872,GO:0004843,GO:0016787
scig1.0052953	GO:0005524,GO:0000166,GO:0003720,GO:0070034,GO:0003723,GO:0003674,GO:0019899,GO:0002039
scig1.0052968	GO:0008318,GO:0016740,GO:0004659
scig1.0052980	GO:0005547,GO:0016757,GO:0008375,GO:0016740,GO:0008289,GO:0031490,GO:0005515,GO:0097363
scig1.0052982	GO:0046872,GO:0008270,GO:0061630,GO:0016740
scig1.0052986	GO:0005515,GO:0031267,GO:0042803,GO:0030674
scig1.0053004	GO:0051015,GO:0017124,GO:0003779,GO:0005515
scig1.0053017	GO:0051020,GO:0005516,GO:0030159,GO:0030507
scig1.0053082	GO:0022857
scig1.0053084	GO:0008270,GO:0004842,GO:0042393,GO:0046872,GO:0016740,GO:0004519,GO:0004518,GO:0042803,GO:0043565,GO:0061630,GO:0003824,GO:0003677,GO:0016787
scig1.0053091	GO:0000978,GO:0000981,GO:0000976,GO:0003700,GO:1990837,GO:0043565,GO:0003677
scig1.0053096	GO:0046872,GO:0030371,GO:0005515,GO:0035198,GO:0042802,GO:0004842,GO:0008270,GO:0003723,GO:0061630,GO:0016740
scig1.0053109	GO:0005515
scig1.0053189	GO:0004252,GO:0019838
scig1.0053202	GO:0031996,GO:0004842,GO:0008270,GO:0005164,GO:0031625,GO:0046872,GO:0019903,GO:0019899,GO:0005515,GO:0042802,GO:0016740,GO:0019901,GO:0061630
scig1.0053206	GO:0005200,GO:0051015,GO:0003779
scig1.0053247	GO:0005515,GO:0005201,GO:0008046,GO:0005509
scig1.0053288	GO:0051087,GO:0005515,GO:0015631,GO:0048487,GO:0003723
scig1.0053292	GO:0061630,GO:0003723,GO:0016740,GO:0005515,GO:0046872,GO:0008270,GO:0004842
scig1.0053311	GO:0030975,GO:0005515,GO:0042802,GO:0016740,GO:0005524,GO:0000166,GO:0016301,GO:0004788
scig1.0053355	GO:0005515,GO:0002020,GO:0003677
scig1.0053473	GO:0008139,GO:0005515,GO:0050613,GO:0070087,GO:0016628,GO:0051087,GO:0003677,GO:0070402,GO:0016491
scig1.0053499	GO:0015016,GO:0102140,GO:0016787,GO:0003824,GO:0008146,GO:0016740,GO:0019213
scig1.0053512	GO:0004672,GO:0004713,GO:0005004,GO:0005005,GO:0004714,GO:0005003,GO:0016740,GO:0000166,GO:0005524,GO:0016301
scig1.0053535	GO:0016308,GO:0016740,GO:0005524,GO:0052742,GO:0000166,GO:0016301,GO:0052810,GO:0046872,GO:0005515,GO:0106310,GO:0043813,GO:0042802,GO:0000285,GO:0008270,GO:0004674,GO:0043621
scig1.0053606	GO:0034236,GO:0002020,GO:0046872,GO:0042802,GO:0005245,GO:0097110,GO:0005515,GO:0019899,GO:0005219,GO:0043621,GO:0048763,GO:0015278,GO:0034237,GO:0043924,GO:0005509,GO:0005516,GO:0097159,GO:0019901,GO:0015085,GO:0000166,GO:0005216,GO:0005524,GO:0005262
scig1.0053634	GO:0043565,GO:0003674
scig1.0053640	GO:0042803,GO:0046982
scig1.0053685	GO:1990841
scig1.0053696	GO:0005515,GO:0000981,GO:0046872,GO:0000978,GO:0003677
scig1.0053710	GO:0046872,GO:0008270
scig1.0053733	GO:0004672,GO:0004713,GO:0004714,GO:0016740,GO:0005524,GO:0000166,GO:0016301
scig1.0053745	GO:0004623,GO:0046872,GO:0016787,GO:0005509
scig1.0053795	GO:0008270,GO:0046872,GO:0019899,GO:0003676,GO:0003887
scig1.0053813	GO:0005515,GO:0046872
scig1.0053849	GO:0003964,GO:0016779,GO:0003824,GO:0016740
scig1.0053860	GO:0000287,GO:0004784,GO:0000166,GO:0005524,GO:0016209,GO:0016301,GO:0005149,GO:0016491,GO:0016740,GO:0019901,GO:0106310,GO:0004672,GO:0005515,GO:0046872,GO:0005507,GO:0004674
scig1.0054005	GO:0005515,GO:0070628,GO:0004866,GO:0008233,GO:0004197,GO:0016787,GO:0061578,GO:0004843,GO:0008234
scig1.0054012	GO:0008289
scig1.0054033	GO:0051015,GO:0005509,GO:0003779,GO:0005546,GO:0005515
scig1.0054076	GO:0016722,GO:0016491,GO:0046872,GO:0140571
scig1.0054116	GO:0000981,GO:0005515,GO:0001046,GO:0046872,GO:0000978,GO:0003677,GO:0001228,GO:1990837,GO:0003700,GO:0000976
scig1.0054135	GO:0003729,GO:0005515,GO:0042802,GO:0050733
scig1.0054138	GO:0042802,GO:0004672,GO:0019899,GO:0005515,GO:0106310,GO:0002020,GO:0046872,GO:0051371,GO:0004674,GO:0042805,GO:0097493,GO:0004713,GO:0043621,GO:0051015,GO:0005509,GO:0005516,GO:0008307,GO:0016301,GO:0005524,GO:0000166,GO:0019901,GO:0031433,GO:0016740,GO:0005201,GO:0030023
scig1.0054158	GO:0005509,GO:0048495,GO:0008201
scig1.0054162	GO:0046872,GO:0019863,GO:0019769,GO:0030246
scig1.0054182	GO:0046872,GO:0008081,GO:0016787,GO:0004622
scig1.0054185	GO:0003824,GO:0016740,GO:0003964,GO:0016779
scig1.0054194	GO:0005109,GO:0017147,GO:0005201
scig1.0054215	GO:0003674,GO:0005509
scig1.0054230	GO:0004692,GO:0003824,GO:0005246,GO:0000166,GO:0005524,GO:0030553,GO:0015078,GO:0016301,GO:0048273,GO:0016740,GO:0106310,GO:0005515,GO:0004672,GO:0042802,GO:0046933,GO:0004674
scig1.0054235	GO:0016779,GO:0003964,GO:0008233,GO:0004519,GO:0016740,GO:0003676,GO:0016787,GO:0003887,GO:0004518
scig1.0054275	GO:0003746,GO:0003677
scig1.0054288	GO:0005515,GO:1990890,GO:0005001,GO:0005102,GO:0004721,GO:0004725,GO:0016787,GO:0016791,GO:1990782,GO:0098632,GO:0050839
scig1.0054298	GO:0005515,GO:0004672,GO:0042802,GO:0001653,GO:0044877,GO:0016829,GO:0004383,GO:0004016,GO:0005524,GO:0000166,GO:0005525,GO:0016849
scig1.0054309	GO:0016740,GO:0031405,GO:0016746,GO:0016407,GO:0005515,GO:0043754,GO:0031625
scig1.0054322	GO:0003909,GO:0008270,GO:0003674,GO:0003682,GO:0003910,GO:0098640,GO:0046872,GO:0005515,GO:0004252,GO:0016874,GO:0000166,GO:0005524,GO:0005178,GO:0005509,GO:0003677
scig1.0054327	GO:0005544,GO:0030507,GO:0005515,GO:0005509
scig1.0054350	GO:0005524,GO:0000166,GO:0003676,GO:0016787,GO:0003723,GO:0106222,GO:0043021,GO:0003724,GO:0003713,GO:0016887,GO:0003730,GO:0005515,GO:0004386,GO:0031490
scig1.0054359	GO:0016740,GO:0019901,GO:0031433,GO:0000166,GO:0005524,GO:0016301,GO:0005516,GO:0008307,GO:0051015,GO:0005509,GO:0043621,GO:0004674,GO:0042805,GO:0097493,GO:0004713,GO:0051371,GO:0046872,GO:0002020,GO:0106310,GO:0004672,GO:0019899,GO:0005515,GO:0042802
scig1.0054391	GO:0005509,GO:0005515
scig1.0054397	GO:0008270,GO:0004190,GO:0008233,GO:0046872,GO:0016779,GO:0003964,GO:0019899,GO:0003676,GO:0016740,GO:0004519,GO:0004518,GO:0003887,GO:0016787
scig1.0054418	GO:0042802,GO:0005515,GO:0019899,GO:0034450,GO:0031624,GO:0019903,GO:0046872,GO:0031625,GO:0008270,GO:0005164,GO:0004842,GO:0031996,GO:0061630,GO:0042826,GO:0032813,GO:0043422,GO:0019901,GO:0016740
scig1.0054473	GO:0003674,GO:0046872,GO:0070412,GO:0046332,GO:0003677
scig1.0054474	GO:0001537,GO:0016740,GO:0008146
scig1.0054496	GO:0004895
scig1.0054585	GO:0042605,GO:0005515,GO:0022857,GO:0015165,GO:0015297,GO:0015184,GO:0015175,GO:0015171,GO:0046982,GO:0180009
scig1.0054599	GO:0008135,GO:0003743,GO:0005085
scig1.0054604	GO:0000287,GO:0004707,GO:0008545,GO:0016740,GO:0019901,GO:0000166,GO:0005524,GO:0016301,GO:0046872,GO:0019903,GO:0106310,GO:0004672,GO:0005515,GO:0019899,GO:0004708,GO:0004674,GO:0004713,GO:0140677
scig1.0054688	GO:0070679,GO:0005216,GO:0005262,GO:0015085,GO:0044325,GO:0016740,GO:0016757,GO:0005509,GO:0035250,GO:0003945,GO:0005220,GO:0015278,GO:0035091,GO:0097110,GO:0046872
scig1.0054691	GO:0004175,GO:0097153,GO:0005515,GO:0035877,GO:0042802,GO:0097110,GO:0097199,GO:0031625,GO:0008233,GO:0019706,GO:0003674,GO:0044877,GO:0004197,GO:0005164,GO:0097200,GO:0016787,GO:0005123,GO:0016409,GO:0016746,GO:0019904,GO:0008234,GO:0016740
scig1.0054696	GO:0030429,GO:0016787,GO:0061981,GO:0030170
scig1.0054714	GO:0015297,GO:0008510,GO:0022853,GO:0005452,GO:0015293,GO:0008509,GO:0005515,GO:0015081,GO:0015106,GO:0015291
scig1.0054721	GO:0004930,GO:0004888,GO:0005515,GO:0019864,GO:0008201,GO:0016504,GO:0005509,GO:0005201,GO:0005179
scig1.0054725	GO:0140662,GO:0000166,GO:0005524
scig1.0054726	GO:0004518,GO:0003723,GO:0003887,GO:0003824,GO:0016787,GO:0003677,GO:0016740,GO:0003676,GO:0004519,GO:0004523,GO:0000166,GO:0005524,GO:0008233,GO:0046872,GO:0003964,GO:0016779,GO:0008270,GO:0004190,GO:0004540
scig1.0054839	GO:0008083
scig1.0054850	GO:0005524,GO:0000166,GO:0005509,GO:0016787,GO:0005516,GO:0004016,GO:0090729,GO:0015267,GO:0008270,GO:0016829,GO:0008237,GO:0008294,GO:0008233,GO:0046872,GO:0004222
scig1.0054909	GO:0048408,GO:0051721,GO:0032266,GO:0005158,GO:0005154,GO:0005159,GO:0016176,GO:0046875,GO:0010314,GO:0001784,GO:0030971,GO:0005068,GO:0044877,GO:0051219,GO:0042169,GO:0042802,GO:0035091,GO:0005515,GO:0005168,GO:0080025
scig1.0054913	GO:0005515,GO:0003723,GO:0035925
scig1.0054937	GO:0070037,GO:0019843,GO:0016740,GO:0003723,GO:0008168
scig1.0054947	GO:0016779,GO:0003964,GO:0003824,GO:0016740
scig1.0054963	GO:0003964,GO:0016779,GO:0003824,GO:0016740
scig1.0055005	GO:0016787,GO:0070006,GO:0030145,GO:0004177,GO:0046872,GO:0008233
scig1.0055010	GO:0003824,GO:0016740,GO:0016779,GO:0003964,GO:0046872
scig1.0055015	GO:0051087,GO:0005515,GO:0045296,GO:0051879,GO:0001671
scig1.0055051	GO:0003677,GO:0003682
scig1.0055055	GO:0005509,GO:0005178,GO:0003682,GO:0005515,GO:0098640
scig1.0055061	GO:0008289
scig1.0055069	GO:0005524,GO:0000166
scig1.0055072	GO:0047894,GO:0030596,GO:0043199,GO:0046872,GO:0005515,GO:0042802,GO:0008146,GO:0016740,GO:0004065,GO:0047685,GO:0004062,GO:0016787,GO:0008484
scig1.0055091	GO:0140351,GO:0016887,GO:0005515,GO:0140345,GO:0046872,GO:0140326,GO:0005198,GO:0005524,GO:0000166,GO:0090554,GO:0000287
scig1.0055095	GO:0005515,GO:0005085
scig1.0055111	GO:0005515,GO:0044183,GO:0046872,GO:0160002,GO:0042393,GO:0008408,GO:0016787,GO:0072572,GO:0140713,GO:0000166,GO:0003906,GO:0004520
scig1.0055127	GO:0004190,GO:0016779,GO:0003964,GO:0008233,GO:0004519,GO:0016740,GO:0003676,GO:0016787,GO:0003887,GO:0004518
scig1.0055182	GO:0060090,GO:0016653
scig1.0055211	GO:0030414,GO:0098640,GO:0005515,GO:0003682,GO:0005178,GO:0005509
scig1.0055236	GO:0005515,GO:0035091,GO:0046872,GO:0003714,GO:0001222
scig1.0055237	GO:0106310,GO:0005515,GO:0035979,GO:0004674,GO:0004677,GO:0000166,GO:0005524,GO:0016301,GO:0016740
scig1.0055240	GO:0005515,GO:0031625,GO:0160072,GO:0061630,GO:0030674
scig1.0055243	GO:0008757,GO:0003674,GO:0106370,GO:0008168,GO:0016740
scig1.0055257	GO:0005515,GO:0004672,GO:0043621,GO:0000049,GO:0005524
scig1.0055266	GO:0016798,GO:0016787,GO:0008061,GO:0004568,GO:0004553,GO:0019900
scig1.0055269	GO:0004650,GO:0016798,GO:0016787,GO:0004553
scig1.0055270	GO:0046872,GO:0005544,GO:0005509
scig1.0055286	GO:0003874,GO:0046872,GO:0016829
scig1.0055293	GO:0005524,GO:0000166,GO:0016874,GO:0004827,GO:0004812
scig1.0055332	GO:0004930,GO:0004888
scig1.0055348	GO:0030246,GO:0005537
scig1.0055368	GO:0003824
scig1.0055393	GO:0019787,GO:0016740,GO:0005524,GO:0000166,GO:0004842,GO:0003682,GO:0061631,GO:0031625,GO:0005515
scig1.0055432	GO:0004620,GO:0047372,GO:0004622,GO:0016787,GO:0008474
scig1.0055485	GO:0046872,GO:0003674,GO:0016491
scig1.0055486	GO:0005515,GO:0045296
scig1.0055507	GO:0004300,GO:0016836
scig1.0055532	GO:0005186
scig1.0055542	GO:0005515,GO:0039706,GO:0019211,GO:0005102,GO:0005125,GO:0070700,GO:0043539,GO:0008083,GO:0048018
scig1.0055640	GO:0009374,GO:0005509
scig1.0055693	GO:0030544,GO:0043531,GO:0050700,GO:0044877,GO:0005515,GO:0019899,GO:0043130,GO:0000166,GO:0042834,GO:0003779,GO:0005524,GO:0038187,GO:0019901,GO:0032500,GO:0051879
scig1.0055719	GO:0016887,GO:0140662,GO:0005515,GO:0044183,GO:0051082,GO:0005524,GO:0000166
scig1.0055737	GO:0016829,GO:0042802,GO:0005515,GO:0004356,GO:0019706,GO:0046872,GO:0016874,GO:0000166,GO:0005524,GO:0016740,GO:0003824,GO:0004351
scig1.0055792	GO:0098919,GO:0060090,GO:0030165,GO:0016829,GO:0035255,GO:0015459,GO:0005515,GO:0019894,GO:0019900,GO:0046872,GO:0097016,GO:0047777,GO:0044325,GO:0016740,GO:0019901,GO:0016787,GO:0003824,GO:0000287,GO:0019902,GO:0004385,GO:0004474
scig1.0055817	GO:0004364,GO:0005515,GO:0016740,GO:0004602,GO:0016491
scig1.0055820	GO:0004930,GO:0004888,GO:0005518,GO:0050840,GO:0043236
scig1.0055827	GO:0036424,GO:0000287,GO:0016787,GO:0046872
scig1.0055883	GO:0016791,GO:0016787,GO:0003779,GO:0017018,GO:0004722,GO:0005515,GO:0004721,GO:0004725,GO:0008138
scig1.0055898	GO:0003676,GO:0003677,GO:0005515
scig1.0055901	GO:0005186
scig1.0055916	GO:0042799,GO:0046966,GO:0003712,GO:0016740,GO:0046975,GO:0050681,GO:0042054,GO:0008168,GO:0003714,GO:0003682,GO:0046965,GO:0140938,GO:0030331,GO:0008270,GO:0005515,GO:0140954,GO:0046872,GO:0042974,GO:0000978
scig1.0055918	GO:0016787,GO:0003723,GO:0004045,GO:0005515
scig1.0055921	GO:0005452,GO:0015297,GO:0022857,GO:0005080,GO:0015651,GO:0015132,GO:0042910,GO:0008514
scig1.0055980	GO:0005515,GO:0005509
scig1.0056019	GO:0005515
scig1.0056035	GO:0005524,GO:0000166,GO:0016787
scig1.0056078	GO:0005515,GO:0005109,GO:0005102,GO:0005125,GO:0048018
scig1.0056107	GO:0005524,GO:0000166,GO:0016301,GO:0016740,GO:0005515,GO:0004138,GO:0019136
scig1.0056156	GO:0005096
scig1.0056241	GO:0000976,GO:0031432
scig1.0056252	GO:0000978,GO:0005515,GO:0000981,GO:0000977,GO:0003677,GO:1990837,GO:0001228,GO:0000976,GO:0003700
scig1.0056270	GO:0016491,GO:0033745,GO:0016671,GO:0008270,GO:0046872,GO:0033743
scig1.0056278	GO:0005515,GO:0003924,GO:0005525,GO:0000166
scig1.0056279	GO:0048027,GO:0000340,GO:0031369,GO:0003723,GO:0043024,GO:0003730,GO:0000339,GO:0003729,GO:0008494,GO:0008190,GO:0005515
scig1.0056292	GO:0070697,GO:0001968,GO:0005509,GO:0004503,GO:0042803,GO:0005178,GO:0046982,GO:0050839,GO:0045545,GO:0004497,GO:0016491,GO:0005201,GO:0005515,GO:0055056,GO:0046872,GO:0005102,GO:0008201,GO:0038100,GO:0005355,GO:0005518,GO:0022857,GO:0043621,GO:0098633
scig1.0056304	GO:0003674
scig1.0056311	GO:0008083
scig1.0056327	GO:0005515,GO:0005102,GO:0038024
scig1.0056337	GO:0003674,GO:0005515,GO:0036312,GO:0005524,GO:0000166
scig1.0056405	GO:0016887,GO:0003688,GO:0003677,GO:0000166,GO:0005524
scig1.0056430	GO:0050811,GO:0048487,GO:0008017,GO:0008429,GO:0031625,GO:0005515
scig1.0056435	GO:0035591,GO:0019901,GO:0016798,GO:0032183,GO:0030674,GO:0016787,GO:0070530,GO:0035325,GO:0035255,GO:0140036,GO:0044877,GO:0038023,GO:0008270,GO:0060090,GO:0005150,GO:0019900,GO:0031625,GO:0046872,GO:0005080,GO:0004336,GO:0031624,GO:0005515,GO:0019899,GO:0042169,GO:0042802,GO:0043130
scig1.0056481	GO:0005515,GO:0016887,GO:0005524,GO:0000166
scig1.0056533	GO:0003676,GO:0004527,GO:0061821,GO:0030145,GO:0070337,GO:0000166,GO:0005524,GO:0042803,GO:0004518,GO:0000405,GO:0043138,GO:0061749,GO:0003824,GO:1905773,GO:0000287,GO:0016787,GO:0003677,GO:0016887,GO:0000400,GO:0000403,GO:0032405,GO:0044877,GO:0061849,GO:0008408,GO:0003682,GO:0009378,GO:0004386,GO:0051880,GO:0046872,GO:0003678,GO:0005515
scig1.0056581	GO:0005484,GO:0005515,GO:0000149
scig1.0056630	GO:0005515,GO:0004672,GO:0106310,GO:0042802,GO:0004713,GO:0004674,GO:0004708,GO:0005524,GO:0000166,GO:0016301,GO:0019901,GO:0016740
scig1.0056676	GO:0005524,GO:0005216,GO:0072320,GO:0000166,GO:0005247,GO:0004610,GO:0000287,GO:0016853,GO:0005254,GO:0030165,GO:0015297,GO:0005244,GO:0016868,GO:0046872
scig1.0056687	GO:0017022,GO:0005518,GO:0042802,GO:0005515
scig1.0056688	GO:0032266,GO:0070273,GO:0010314,GO:0016176,GO:0080025,GO:0042169,GO:0035091
scig1.0056689	GO:0003735,GO:0003723
scig1.0056699	GO:0016787,GO:0003677,GO:0003824,GO:0003887,GO:0004518,GO:0003723,GO:0005524,GO:0000166,GO:0004523,GO:0004519,GO:0016740,GO:0003676,GO:0003964,GO:0009036,GO:0016779,GO:0046872,GO:0008233,GO:0004190,GO:0004540,GO:0008270
scig1.0056705	GO:0004674,GO:0042802,GO:0106310,GO:0005515,GO:0004672,GO:0016740,GO:0048273,GO:0016301,GO:0000166,GO:0030553,GO:0005524,GO:0003824,GO:0005246,GO:0004692
scig1.0056713	GO:0005515,GO:0016208
scig1.0056745	GO:0005515,GO:0003743,GO:0003729,GO:0030971,GO:0003723
scig1.0056782	GO:0003712,GO:0003677,GO:0043565,GO:0003690
scig1.0056822	GO:0003676,GO:0003677
scig1.0056834	GO:0005515,GO:0019899,GO:0042802,GO:0008081,GO:0016787,GO:0005516,GO:0005509,GO:0005096,GO:0005521,GO:0005546,GO:0004435
scig1.0056837	GO:0016747,GO:0008289
scig1.0056867	GO:0016616,GO:0003854,GO:0016491
scig1.0056884	GO:0005515,GO:0003677
scig1.0056888	GO:0046872,GO:0016779,GO:0003964,GO:0003824,GO:0016740
scig1.0056893	GO:0032934,GO:0008289,GO:0120015,GO:0015248,GO:0005545,GO:0015485,GO:0008142,GO:0005515
scig1.0056898	GO:0015485,GO:0120015,GO:0070273,GO:0008289
scig1.0056911	GO:0106258,GO:0016780,GO:0106245,GO:0016740
scig1.0056919	GO:0001530,GO:0005515
scig1.0056946	GO:0046872,GO:0042802,GO:0005515,GO:0016780,GO:0043236,GO:0016740,GO:0002162
scig1.0056963	GO:0005515,GO:0003674,GO:0031072,GO:0051082
scig1.0056968	GO:0004438,GO:0016787,GO:0051800,GO:0016791,GO:1990782,GO:1990381,GO:0140678,GO:0051717,GO:0019901,GO:0042802,GO:0019899,GO:0005515,GO:0004722,GO:0010997,GO:0017018,GO:0052866,GO:0030165,GO:0004725,GO:0035255,GO:0004721,GO:0005161,GO:0016314
scig1.0056992	GO:0003887,GO:0004518,GO:0016787,GO:0004601,GO:0005509,GO:0106293,GO:0016491,GO:0004519,GO:0020037,GO:0003676,GO:0016740,GO:0016175,GO:0016174,GO:0046872,GO:0008233,GO:0106294,GO:0016779,GO:0003964,GO:0106292,GO:0004190
scig1.0056994	GO:0015350,GO:0015293,GO:0022857,GO:0005542
scig1.0057004	GO:0003674
scig1.0057039	GO:0051015,GO:0005524,GO:0003779,GO:0000166
scig1.0057068	GO:0002162,GO:0008017,GO:0043515,GO:0051010,GO:0005515
scig1.0057092	GO:0046332,GO:0016787,GO:0004518,GO:0042803,GO:0003723,GO:0004519,GO:0070878,GO:0001530,GO:0004521,GO:0070412,GO:0005515,GO:0004525,GO:0046872,GO:0017151
scig1.0057137	GO:0098640,GO:0003682,GO:0005509
scig1.0057185	GO:0046983,GO:0000978,GO:0000981,GO:0000976,GO:0003700,GO:0003677
scig1.0057189	GO:0045505,GO:0005515,GO:0042802,GO:0003674,GO:0030742,GO:0044325,GO:0031681
scig1.0057203	GO:0005201,GO:0005179,GO:0030023,GO:0005509,GO:0005515
scig1.0057214	GO:0008270,GO:0046872,GO:0019899,GO:0003676,GO:0003887
scig1.0057263	GO:0017147,GO:0004714,GO:0000166,GO:0005524,GO:0016301,GO:0016740,GO:0005011,GO:0004672,GO:0005515,GO:0019899,GO:0005109,GO:0042813,GO:0004888,GO:0004713
scig1.0057267	GO:0022857,GO:0015647,GO:0005290,GO:0015293,GO:0071916,GO:0015333
scig1.0057283	GO:0003723,GO:0003735
scig1.0057303	GO:0017176,GO:0005515
scig1.0057304	GO:0003735,GO:0003729
scig1.0057327	GO:0004843,GO:0008234,GO:0061578,GO:0016787,GO:0003723,GO:0060090,GO:0005515,GO:0008233
scig1.0057328	GO:0005178,GO:0005509,GO:0051015,GO:0051020,GO:0003779,GO:0046872,GO:0005515
scig1.0057336	GO:0052739,GO:0016740,GO:0016410,GO:0016787,GO:0052740,GO:0008970,GO:0004620,GO:0004623
scig1.0057395	GO:0003676,GO:0005515
scig1.0057438	GO:0005543,GO:0005096,GO:0005515
scig1.0057443	GO:0005515,GO:0005509,GO:0005201,GO:0005179
scig1.0057477	GO:0005515,GO:0005518,GO:0140311,GO:0008201,GO:0043236,GO:0005509,GO:0001968,GO:0048495
scig1.0057517	GO:0005525,GO:0000166,GO:0005096
scig1.0057519	GO:0015250,GO:0042802,GO:0015267
scig1.0057527	GO:0016616,GO:0008753,GO:0004090,GO:0016491,GO:0000253,GO:0070402
scig1.0057555	GO:0140826,GO:0019901,GO:0060090,GO:0015297,GO:0043539,GO:0005385,GO:0008324,GO:0042802,GO:0043022,GO:0005515,GO:0046872
scig1.0057578	GO:0016829,GO:0004609,GO:0016831
scig1.0057594	GO:0022857
scig1.0057601	GO:0005509,GO:0005201,GO:0005515
scig1.0057613	GO:0046872,GO:0005515,GO:0019960,GO:0005178,GO:1990782,GO:0001968,GO:0043236,GO:0098639
scig1.0057627	GO:0031369,GO:0003743,GO:0046872,GO:0005515,GO:0003729
scig1.0057631	GO:0003677,GO:0000978,GO:0046872,GO:0000981
scig1.0057662	GO:0016779,GO:0003964,GO:0016740,GO:0003824
scig1.0057692	GO:0005509,GO:0042803,GO:0038024,GO:0031419,GO:0005515,GO:0046872,GO:0038023
scig1.0057701	GO:0060090,GO:0070064,GO:0005515,GO:0046872,GO:0005085,GO:0005509
